pick,player,position,team,season,team_right,position_right,depth_chart_position,jersey_number,status,first_name,last_name,birth_date,height,weight,college,player_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,ngs_position,week,game_type,status_description_abbr,football_name,draft_number
38,RJ Harvey,RB,Derek Brown,2025,DEN,RB,RB,12,ACT,Robert,Harvey,2001-02-04,69.0,205,UCF; Virginia,00-0040730,4568490,fc6dbb83-b2b1-4962-b793-e79b2378b525,,18522,99622,HarvRJ00,25944,12489,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/i1qxzydetb2orrynzvzk",HAR819909,58265,32004841-5281-9909-a72d-cc3e41956f3a,2025,2025,DEN,RB,21,CON,A01,R.J.,60
98,Rhamondre Stevenson,RB,Ian Hartitz,2021,NE,RB,RB,38,ACT,Rhamondre,Stevenson,1998-02-23,72.0,246,Oklahoma,00-0036875,4569173,6260e78a-64e2-4f7e-9bf8-39948a17a370,33508,15372,98689,StevRh00,,7611,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/igwbptxstony9xbzdwnn",STE703131,53549,32005354-4570-3131-4f2a-53760868c1d8,2021,2021,NE,RB,19,WC,A01,Rhamondre,120
134,Dak Prescott,QB,Derek Brown,2016,DAL,QB,QB,4,ACT,Rayne,Prescott,1993-07-29,74.0,230,Mississippi State,00-0033077,2577417,86197778-8d4b-4eba-affe-08ef7be7c70b,29369,11008,10769,PresDa01,18055,3294,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/httrtiv5us06hh6asf07",PRE285723,43424,32005052-4528-5723-d1b2-96e92ebc1241,2016,2016,DAL,QB,19,DIV,A01,Dak,135
60,James Conner,RB,Justin Boone,2017,PIT,RB,RB,30,RES,James,Conner,1995-05-05,73.0,233,Pittsburgh,00-0033553,3045147,28a084c0-14df-499f-bd1f-b975603626b7,30218,11691,11860,ConnJa00,18983,4137,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g7f2fameplu2lllzpp75",CON461999,44917,3200434f-4e46-1999-59e9-253cedeec3a5,2017,2017,PIT,,19,DIV,,James,
36,Breece Hall,RB,Justin Boone,2022,NYJ,RB,RB,20,RES,Breece,Hall,2001-05-31,73.0,220,Iowa State,00-0038120,4427366,db1053d7-3343-43a3-9aab-8353f10f1221,,15810,,,,8155,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xcuixhewoo00o7frboye",HAL189796,54501,32004841-4c18-9796-85f0-25933f010ae8,2022,2022,NYJ,,18,REG,R01,Breece,36
10,Ashton Jeanty,RB,Ben Gretch,2025,LV,RB,RB,2,ACT,Ashton,Jeanty,2003-12-02,68.0,215,Boise State,00-0040122,4890973,320fc4b7-76c7-43af-bbfd-1a22ba8f78cb,,18487,157196,JeanAs00,25868,12527,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/syspis1mntov9kgspb7r",JEA427291,58208,32004a45-4142-7291-3a65-da29eaedce27,2025,2025,LV,RB,18,REG,A01,Ashton,6
27,Chase Brown,RB,Ray Garvin,2023,CIN,RB,RB,30,ACT,Chase,Brown,2000-03-21,69.0,205,Illinois,00-0038597,,d74ff06d-905d-4fed-8f98-b5f6d4549333,40196,16934,,BrowCh10,,9224,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jqjvgchj9mxigofrx0gv",BRO340581,56028,32004252-4f34-0581-a205-5f41836f80e9,2023,2023,CIN,RB,18,REG,A01,Chase,163
35,George Kittle,TE,Derek Brown,2017,SF,TE,TE,85,ACT,George,Kittle,1993-10-09,76.0,247,Iowa,00-0033288,3040151,2ada91b0-036e-454f-83c3-6d939ff584a9,30259,11892,11901,KittGe00,19063,4217,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n5dvz5zxymahzxnl4cq3",KIT388290,44959,32004b49-5438-8290-eeed-c9c9cca62ec1,2017,2017,SF,TE,17,REG,A01,George,146
7,Christian McCaffrey,RB,Chris Allen,2017,CAR,RB,RB,22,ACT,Christian,McCaffrey,1996-06-07,71.0,205,Stanford,00-0033280,3117251,f96db0af-5e25-42d1-a07a-49b4e065b364,30121,11690,11763,McCaCh01,18877,4034,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fbmd42eh96156aug14kp",MCC035988,44820,32004d43-4303-5988-790d-0077d6a4692b,2017,2017,CAR,RB,18,WC,A01,Christian,8
41,James Cook,RB,Dave Kluge,2022,BUF,RB,RB,28,ACT,James,Cook,1999-09-25,71.0,190,Georgia,00-0037248,4379399,ce5de0e5-9f76-42ee-b93a-3ef88af9b0a7,,15876,,,,8138,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hh0bnf0lr6lzwyceorwj",COO151970,54528,3200434f-4f15-1970-d2e5-e575c819187c,2022,2022,BUF,RB,20,DIV,A01,James,63
