n,rmse,mae,crps,spearman,cov50,cov80,cov90,rmse_base,model,method,season,week,fit_time,n_train,n_dropped
247,6.620436666946703,4.963789916406681,3.5370226133781255,0.5721518117486893,0.5263157894736842,0.8461538461538461,0.9068825910931174,7.306238645859264,hs,nuts,2019,6.0,209.97085809707642,11215,16
247,6.660264621469486,4.986067992092954,3.545060606299855,0.5661449769424163,0.5344129554655871,0.854251012145749,0.9109311740890689,7.306238645859264,ar,nuts,2019,6.0,138.16890597343445,11215,16
247,6.598400930517997,4.936785895743206,3.5241201053906615,0.5726149481103769,0.5344129554655871,0.8421052631578947,0.902834008097166,7.306238645859264,team,nuts,2019,6.0,164.39706802368164,11215,16
271,6.849698045745973,4.977804647153425,3.516144649737952,0.610440329769558,0.5276752767527675,0.8265682656826568,0.922509225092251,6.963315907718706,hs,nuts,2019,8.0,205.33827781677246,11748,18
271,6.803334361691506,4.950878272219254,3.488945809126424,0.6189765820583348,0.5239852398523985,0.8302583025830258,0.9261992619926199,6.963315907718706,ar,nuts,2019,8.0,130.67302560806274,11748,18
271,6.817802553506434,4.97526037508014,3.5095398883091278,0.6060540130735588,0.5461254612546126,0.8265682656826568,0.922509225092251,6.963315907718706,team,nuts,2019,8.0,162.88596200942993,11748,18
229,6.712160718023164,5.033470612143224,3.590323444523797,0.6296903265293062,0.5109170305676856,0.8034934497816594,0.9082969432314411,6.715231414141503,hs,nuts,2019,10.0,186.94594311714172,12303,15
229,6.618878984075773,4.981167849035034,3.532603432277214,0.637238794105438,0.5021834061135371,0.8296943231441049,0.9082969432314411,6.715231414141503,ar,nuts,2019,10.0,162.9430389404297,12303,15
229,6.676236226507168,5.0212398698838365,3.5702931452570197,0.6340467878548584,0.49344978165938863,0.8165938864628821,0.9213973799126638,6.715231414141503,team,nuts,2019,10.0,157.6184892654419,12303,15
266,6.566411673672025,4.871951901560336,3.4361839241799497,0.6196111769331798,0.5075187969924813,0.8270676691729323,0.9172932330827067,6.80759879509393,hs,nuts,2019,12.0,238.1136817932129,12819,6
266,6.542672314199453,4.861634830089709,3.404487343540555,0.6184226197786824,0.5,0.8270676691729323,0.924812030075188,6.80759879509393,ar,nuts,2019,12.0,182.0910279750824,12819,6
266,6.518347001078994,4.853498137826246,3.398639425853183,0.6319994768934751,0.5075187969924813,0.8157894736842105,0.9323308270676691,6.80759879509393,team,nuts,2019,12.0,201.07523703575134,12819,6
307,6.445541435619654,4.707215929965636,3.412784253330169,0.6426110191345815,0.5146579804560261,0.8403908794788274,0.9153094462540716,6.832094071338737,hs,nuts,2019,14.0,245.06725311279297,13398,13
307,6.4090447052758,4.674417723415661,3.3943585318681815,0.6483279322176668,0.511400651465798,0.8469055374592834,0.9185667752442996,6.832094071338737,ar,nuts,2019,14.0,175.59295201301575,13398,13
307,6.391685493265516,4.677369353889459,3.3959475885452677,0.650044499350682,0.501628664495114,0.8534201954397395,0.9153094462540716,6.832094071338737,team,nuts,2019,14.0,211.08949494361877,13398,13
301,6.757589843067347,4.940441308418617,3.503452993258695,0.6122450471289183,0.5249169435215947,0.8338870431893688,0.9169435215946844,6.781450620325218,hs,nuts,2019,15.0,243.0915699005127,13718,8
301,6.738563268926004,4.952717206653179,3.4977396870590396,0.6130573966024421,0.5348837209302325,0.8305647840531561,0.9169435215946844,6.781450620325218,ar,nuts,2019,15.0,177.02489113807678,13718,8
301,6.697069681989004,4.894726402684851,3.467956618780678,0.6173525954303559,0.5182724252491694,0.8272425249169435,0.9269102990033222,6.781450620325218,team,nuts,2019,15.0,212.9181399345398,13718,8
270,5.298734989830365,4.13243471049133,2.840403322390965,0.6574447205806202,0.5777777777777777,0.9,0.9740740740740741,5.576891268306969,hs,nuts,2023,6.0,236.36608791351318,11929,17
270,5.279451020143809,4.116895668176728,2.841540464003416,0.6567138788623451,0.5888888888888889,0.9,0.9777777777777777,5.576891268306969,ar,nuts,2023,6.0,157.77612495422363,11929,17
270,5.26248501875014,4.088141499498947,2.8229111157151237,0.6617474482937186,0.5814814814814815,0.9,0.9814814814814815,5.576891268306969,team,nuts,2023,6.0,195.20336604118347,11929,17
